2025-04-22 01:20:33,537 - DEBUG    - memory.longterm - LongTermMemoryFile initialized.
2025-04-22 01:20:33,537 - DEBUG    - memory.active   - ActiveMemoryFile initialized. Threshold: 25, Summary Size: 5
2025-04-22 01:20:33,538 - DEBUG    - memory.dynamic  - DynamicMemory initialized. Location: Science class, Action: Waiting before the project discussion, Last Narrative: *Is waiting impatiently.*
2025-04-22 01:20:35,592 - INFO     - memory.vector   - Initializing VectorMemoryStore...
2025-04-22 01:20:37,664 - INFO     - memory.vector   - Loaded SentenceTransformer model: all-MiniLM-L6-v2
2025-04-22 01:20:37,665 - INFO     - memory.vector   - Inferred embedding dimension: 384
2025-04-22 01:20:37,665 - INFO     - memory.vector   - Initialized FAISS IndexIDMap with IndexFlatL2 (dim=384)
2025-04-22 01:20:37,665 - INFO     - memory.vector   - VectorMemoryStore initialized successfully.
2025-04-22 01:20:37,665 - INFO     - memory.vector   - Attempting to load FAISS index from memory_index.faiss and data from memory_data.json...
2025-04-22 01:20:37,665 - WARNING  - memory.vector   - Memory files not found (memory_index.faiss or memory_data.json). Starting with empty memory.
2025-04-22 01:20:37,666 - DEBUG    - memory.vector   - --- VectorMemory: add_memory called ---
2025-04-22 01:20:37,666 - DEBUG    - memory.vector   - Input text: 'Background: Lin fell asleep at Poppy's house yesterday, missing project work. They are now in Scienc...'
2025-04-22 01:20:37,666 - DEBUG    - memory.vector   - Metadata: {'timestamp': 1745306437.6662884, 'roleplay_time': '2025-04-16T14:00:00', 'location': 'Science class', 'action': 'Waiting before the project discussion', 'topic': 'Initial Setup / Project Discussion', 'type': 'system_context'}
2025-04-22 01:20:37,711 - DEBUG    - memory.vector   - Generated embedding shape: (1, 384)
2025-04-22 01:20:37,712 - INFO     - memory.vector   - Added memory ID 0 to store and FAISS index. Index size: 1
2025-04-22 01:20:37,712 - DEBUG    - memory.vector   - --- VectorMemory: add_memory finished ---
2025-04-22 01:20:37,712 - DEBUG    - memory.dynamic  - --- DynamicMemory: add_memory called ---
2025-04-22 01:20:37,712 - DEBUG    - memory.dynamic  - Input memory: 'System Context: Background: Lin fell asleep at Poppy's house yesterday, missing project work. They a...'
2025-04-22 01:20:37,712 - DEBUG    - memory.dynamic  - Current dynamic memory state (before add): []
2025-04-22 01:20:37,712 - DEBUG    - memory.dynamic  - Relevance check for 'System Context: Background: Lin fell asleep at Pop...': True
2025-04-22 01:20:37,712 - DEBUG    - memory.dynamic  - Is new memory relevant? True
2025-04-22 01:20:37,712 - DEBUG    - memory.dynamic  - Is memory already in active? False
2025-04-22 01:20:37,712 - DEBUG    - memory.dynamic  - Dynamic memory state (after add): ["System Context: Background: Lin fell asleep at Poppy's house yesterday, missing project work. They are now in Science Class. Poppy is irritated about the extra work."]
2025-04-22 01:20:37,712 - DEBUG    - memory.dynamic  - Proposing relevant memory to active: 'System Context: Background: Lin fell asleep at Poppy's house yesterday...'
2025-04-22 01:20:37,712 - DEBUG    - memory.active   - --- ActiveMemory: add_memory called ---
2025-04-22 01:20:37,712 - DEBUG    - memory.active   - Input memory: 'System Context: Background: Lin fell asleep at Poppy's house yesterday, missing project work. They a...'
2025-04-22 01:20:37,712 - DEBUG    - memory.active   - Current active memory state (before add, size 0): []
2025-04-22 01:20:37,712 - INFO     - memory.active   - Added to active memory: 'System Context: Background: Lin fell asleep at Poppy's house yesterday...'
2025-04-22 01:20:37,712 - DEBUG    - memory.active   - Active memory state (after add, size 1): ["System Context: Background: Lin fell asleep at Poppy's house yesterday, missing project work. They are now in Science Class. Poppy is irritated about the extra work."]
2025-04-22 01:20:37,712 - DEBUG    - memory.active   - Message count incremented to: 1
2025-04-22 01:20:37,713 - DEBUG    - memory.active   - --- ActiveMemory: add_memory finished ---
2025-04-22 01:20:37,713 - INFO     - memory.dynamic  - Added to dynamic: 'System Context: Background: Lin fell asleep at Poppy's house yesterday...' | Proposed relevant to active.
2025-04-22 01:20:37,714 - DEBUG    - memory.dynamic  - --- DynamicMemory: add_memory finished ---
2025-04-22 01:21:27,123 - DEBUG    - memory.dynamic  - Returning current dynamic state: {'location': 'Science class', 'action': 'Waiting before the project discussion', 'recent_memories': "System Context: Background: Lin fell asleep at Poppy's house yesterday, missing project work. They are now in Science Class. Poppy is irritated about the extra work."}
2025-04-22 01:21:27,123 - DEBUG    - memory.vector   - --- VectorMemory: retrieve_relevant_memories called ---
2025-04-22 01:21:27,123 - DEBUG    - memory.vector   - Query text: 'I... I'm really sorry... I didn't want to be... Be like that... Im really sorry... Topic: Initial Se...'
2025-04-22 01:21:27,123 - DEBUG    - memory.vector   - k: 5, threshold: None
2025-04-22 01:21:27,151 - DEBUG    - memory.vector   - Query embedding shape: (1, 384)
2025-04-22 01:21:27,151 - DEBUG    - memory.vector   - Searching FAISS index with k=1
2025-04-22 01:21:27,171 - DEBUG    - memory.vector   - FAISS search results - Distances: [[1.7700942]], IDs: [[0]]
2025-04-22 01:21:27,171 - DEBUG    - memory.vector   - Retrieved relevant memory ID 0 with distance 1.7700941562652588
